,incident_id,date,state,city_or_county,n_killed,n_injured,latitude,longitude,pos,neg,neu,comp,scrape
366,92339,2014-01-01,Washington,Seattle,0,1,47.6017,-122.29899999999999,0.0,0.0,1.0,0.0,True
368,92334,2014-01-01,Washington,Seattle,0,0,47.5337,-122.37200000000001,0.288,0.093,0.619,0.7215,True
985,93663,2014-01-05,Washington,Seattle,0,1,47.6062,-122.31700000000001,0.21266666666666667,0.12999999999999998,0.6573333333333333,0.09476666666666667,True
1741,95960,2014-01-11,Washington,Seattle,0,1,47.571000000000005,-122.295,0.0,0.0,0.0,0.0,True
2468,217356,2014-01-16,Washington,Seattle,0,0,47.4435,-122.296,0.16966666666666666,0.21766666666666667,0.613,0.02429999999999999,True
2983,112819,2014-01-19,Washington,Seattle,0,1,47.6062,-122.31700000000001,0.1771111111111111,0.12377777777777779,0.699111111111111,0.05994444444444445,True
3014,98206,2014-01-19,Washington,Seattle,0,1,47.6133,-122.344,0.16628571428571431,0.1662857142857143,0.6675714285714286,0.10121428571428573,True
3183,98687,2014-01-20,Washington,Seattle,1,0,47.5756,-122.334,0.0,0.0,0.0,0.0,True
3337,99286,2014-01-22,Washington,Seattle,0,1,47.6104,-122.31200000000001,0.16022222222222224,0.11488888888888892,0.7248888888888888,0.058255555555555553,True
4111,113665,2014-01-27,Washington,Seattle,1,4,47.6,-122.33200000000001,0.0798421052631579,0.22784210526315787,0.692315789473684,-0.3290315789473684,True
4208,110433,2014-01-28,Washington,Seattle,0,0,47.4502,-122.309,0.16966666666666666,0.21766666666666667,0.613,0.02429999999999999,True
4567,107286,2014-01-31,Washington,Seattle,0,0,47.6138,-122.33200000000001,0.09176666666666668,0.1983333333333333,0.7098999999999999,-0.22316333333333335,True
4637,102553,2014-01-31,Washington,Seattle,0,1,47.5275,-122.26799999999999,0.08966666666666667,0.24133333333333332,0.669,-0.3002333333333333,True
4653,102331,2014-01-31,Washington,Seattle,0,1,47.5612,-122.324,0.0,0.0,0.0,0.0,True
4784,103396,2014-02-01,Washington,Seattle,0,1,47.5235,-122.279,0.08966666666666667,0.11833333333333333,0.7919999999999999,-0.04523333333333334,True
4901,103392,2014-02-02,Washington,Seattle,0,1,47.6039,-122.338,0.08354166666666668,0.1660833333333334,0.750375,-0.18176249999999997,True
4920,110649,2014-02-02,Washington,Seattle,0,0,47.4502,-122.309,0.1785,0.25775000000000003,0.5640000000000001,-0.1509,True
4949,103390,2014-02-02,Washington,Seattle,0,1,47.6026,-122.334,0.08234782608695652,0.173304347826087,0.7443478260869564,-0.20536956521739128,True
5340,104516,2014-02-06,Washington,Seattle,1,0,47.608999999999995,-122.337,0.11891666666666667,0.1605,0.720583333333333,-0.08199999999999998,True
5412,104944,2014-02-06,Washington,Seattle,1,0,47.6088,-122.337,0.11891666666666667,0.1605,0.720583333333333,-0.08199999999999998,True
5448,104258,2014-02-06,Washington,Seattle,0,1,47.5856,-122.32,0.0,0.0,0.0,0.0,True
5519,111207,2014-02-07,Washington,Seattle,0,0,47.4502,-122.309,0.1785,0.25775000000000003,0.5640000000000001,-0.1509,True
5768,111216,2014-02-09,Washington,Seattle,0,0,47.4502,-122.309,0.238,0.17833333333333334,0.584,0.05946666666666667,True
6094,106765,2014-02-13,Washington,Seattle,0,1,47.5448,-122.274,0.0,0.0,0.0,0.0,True
6964,109129,2014-02-21,Washington,Seattle,0,1,47.5508,-122.33,0.0,0.0,0.0,0.0,True
6966,109131,2014-02-21,Washington,Seattle,0,1,47.6096,-122.339,0.06289473684210527,0.18,0.7571052631578945,-0.27879999999999994,True
7401,109906,2014-02-25,Washington,Seattle,0,0,47.467,-122.288,0.078,0.22,0.701,-0.7405,True
7440,110159,2014-02-25,Washington,Seattle,1,0,47.6906,-122.35799999999999,0.0,0.118,0.882,-0.4479,True
7669,110890,2014-02-28,Washington,Seattle,0,1,47.5373,-122.281,0.0,0.0,0.0,0.0,True
7905,111621,2014-03-02,Washington,Seattle,0,0,47.5666,-122.387,0.0,0.0,0.0,0.0,True
7940,113318,2014-03-03,Washington,Seattle,0,0,47.4502,-122.309,0.0,0.0,0.0,0.0,True
8049,113323,2014-03-04,Washington,Seattle,0,0,47.4502,-122.309,0.173,0.081,0.746,0.4019,True
8523,117546,2014-03-08,Washington,Seattle,0,0,47.4502,-122.309,0.173,0.081,0.746,0.4019,True
8752,113638,2014-03-10,Washington,Seattle,0,0,47.6062,-122.314,0.0,0.318,0.682,-0.6801,True
9059,117604,2014-03-13,Washington,Seattle,0,0,47.4502,-122.309,0.173,0.081,0.746,0.4019,True
9803,116924,2014-03-19,Washington,Seattle,1,0,47.5174,-122.354,0.0,0.0,0.0,0.0,True
10326,133741,2014-03-23,Washington,Seattle,0,0,47.4502,-122.309,0.12,0.08933333333333333,0.7903333333333333,0.13396666666666665,True
10692,119011,2014-03-26,Washington,Seattle,0,1,47.6631,-122.314,0.0,0.046000000000000006,0.9540000000000001,-0.11333333333333334,True
10919,120050,2014-03-28,Washington,Seattle,0,1,47.61,-122.31700000000001,0.324,0.29533333333333334,0.381,0.05086666666666667,True
11032,120052,2014-03-29,Washington,Seattle,0,1,47.6138,-122.33200000000001,0.01175,0.18624999999999997,0.802,-0.4356,True
11459,180722,2014-04-01,Washington,Seattle,0,0,47.4435,-122.296,0.09280000000000001,0.1404,0.7666,-0.14941999999999997,True
11500,120896,2014-04-01,Washington,Seattle,0,0,47.5174,-122.369,0.0,0.0,0.0,0.0,True
11676,121518,2014-04-03,Washington,Seattle,1,0,47.6298,-122.28299999999999,0.0,0.0,0.0,0.0,True
11855,180585,2014-04-04,Washington,Seattle,0,0,47.4435,-122.296,0.09280000000000001,0.1404,0.7666,-0.14941999999999997,True
12017,180610,2014-04-05,Washington,Seattle,0,0,47.4435,-122.296,0.09280000000000001,0.1404,0.7666,-0.14941999999999997,True
12130,122723,2014-04-06,Washington,Seattle,1,0,47.6127,-122.337,0.0,0.1658,0.8342,-0.4398000000000001,True
12667,124656,2014-04-10,Washington,Seattle,0,0,47.5026,-122.27,0.0,0.0,0.0,0.0,True
12832,125067,2014-04-12,Washington,Seattle,0,0,47.6988,-122.368,0.0,0.444,0.556,-0.34,True
13290,126133,2014-04-15,Washington,Seattle,0,0,47.716,-122.365,0.0,0.0,0.0,0.0,True
13653,133111,2014-04-18,Washington,Seattle,0,0,47.6129,-122.303,0.0,0.0,0.0,0.0,True
13732,127472,2014-04-19,Washington,Seattle,1,0,47.6129,-122.304,0.0,0.0,0.0,0.0,True
13795,382006,2014-04-19,Washington,Seattle,0,0,47.6138,-122.33200000000001,0.031136363636363632,0.1838181818181818,0.7850000000000001,-0.3408954545454546,True
14315,129413,2014-04-23,Washington,Seattle,0,0,47.5794,-122.311,0.0,0.0,0.0,0.0,True
14394,129001,2014-04-24,Washington,Seattle,1,0,47.5967,-122.296,0.0,0.0,0.0,0.0,True
14517,129006,2014-04-25,Washington,Seattle,1,0,47.608999999999995,-122.3,0.0,0.0,0.0,0.0,True
14575,129529,2014-04-25,Washington,Seattle,1,0,47.5945,-122.29700000000001,0.0,0.0,0.0,0.0,True
14658,129796,2014-04-26,Washington,Seattle,0,1,47.6619,-122.318,0.1646,0.162,0.6736,0.22094,True
14831,130668,2014-04-27,Washington,Seattle,0,1,47.5502,-122.3,0.0,0.0,0.0,0.0,True
14961,206050,2014-04-28,Washington,Seattle,0,0,47.6062,-122.33200000000001,0.033558823529411766,0.21364705882352938,0.7527647058823528,-0.3876558823529412,True
15138,131097,2014-04-29,Washington,Seattle,0,1,47.5784,-122.29799999999999,0.0,0.0,0.0,0.0,True
15184,181109,2014-04-30,Washington,Seattle,0,0,47.4435,-122.296,0.05566666666666667,0.15566666666666665,0.7886666666666667,-0.11176666666666668,True
15310,133106,2014-05-01,Washington,Seattle,1,0,47.5967,-122.296,0.0,0.0,0.0,0.0,True
15407,133104,2014-05-02,Washington,Seattle,1,0,47.5945,-122.29700000000001,0.0,0.0,0.0,0.0,True
16415,379330,2014-05-10,Washington,Seattle,0,0,47.5283,-122.35799999999999,0.168,0.18133333333333335,0.6503333333333333,0.06276666666666664,True
17199,137681,2014-05-15,Washington,Seattle,0,0,47.5201,-122.265,0.16033333333333336,0.4566666666666666,0.383,-0.24700000000000003,True
17698,141036,2014-05-19,Washington,Seattle,0,0,47.6062,-122.33200000000001,0.03905555555555556,0.23394444444444445,0.7269999999999999,-0.44817777777777784,True
17808,141062,2014-05-19,Washington,Seattle,0,0,47.5132,-122.262,0.085,0.438,0.478,-0.8225,True
17833,137353,2014-05-20,Washington,Seattle,0,0,47.5796,-122.309,0.0,0.0,0.0,0.0,True
